"bid","bpid","affilliation","rank","competitors","exam_type","pass_year","king","lid","previous","exam_class","class_rank","pass_date"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012779&category=dirSer","G002+AKS-KHF_13C815CC3DD734B1808X0","문과",38,38,"식년시",1846,"헌종",195,"유학(幼學)","병과(丙科)",28,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1847_012788&category=dirSer","G002+AKS-KHF_13C784BCD1BB35B1823X0","문과",9,24,"정시",1847,"헌종",58,"유학(幼學)","병과(丙科)",6,"1847-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1847_012792&category=dirSer","G002+AKS-KHF_13ACF5D5CCB3D9B1797X0","문과",13,24,"정시",1847,"헌종",206,"유학(幼學)","병과(丙科)",10,"1847-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1847_012795&category=dirSer","G002+AKS-KHF_13AE40D604AD6CB1803X0","문과",16,24,"정시",1847,"헌종",169,"진사(進士)","병과(丙科)",13,"1847-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1847_012803&category=dirSer","G002+AKS-KHF_12C774D45CFFFFB1811X0","문과",24,24,"정시",1847,"헌종",40,"유학(幼學)","병과(丙科)",21,"1847-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1848_012823&category=dirSer","G002+AKS-KHF_13BC15BB38D604B1798X0","문과",20,43,"증광시",1848,"헌종",76,"유학(幼學)","병과(丙科)",10,"1848-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1848_012846&category=dirSer","G002+AKS-KHF_13CD5CACBDC870B1796X0","문과",43,43,"증광시",1848,"헌종",89,"현감(縣監)","병과(丙科)",33,"1848-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012762&category=dirSer","G002+AKS-KHF_12C774AE30FFFFB1796X0","문과",21,38,"식년시",1846,"헌종",135,"유학(幼學)","병과(丙科)",11,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1847_012800&category=dirSer","G002+AKS-KHF_13C120BB38C8FCB1790X0","문과",21,24,"정시",1847,"헌종",167,"진사(進士)","병과(丙科)",18,"1847-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1847_012782&category=dirSer","G002+AKS-KHF_13C774D76CCC44B1804X0","문과",3,24,"정시",1847,"헌종",332,"유학(幼學)","을과(乙科)",2,"1847-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1848_012845&category=dirSer","G002+AKS-KHF_13C870C7ACD615B1805X0","문과",42,43,"증광시",1848,"헌종",223,"유학(幼學)","병과(丙科)",32,"1848-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1848_012847&category=dirSer","G002+AKS-KHF_13C774C778B3D9B1807X0","문과",1,3,"정시",1848,"헌종",301,"유학(幼學)","갑과(甲科)",1,"1848-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1848_012849&category=dirSer","G002+AKS-KHF_13BC30D5CCC7A5B1824X0","문과",3,3,"정시",1848,"헌종",161,"유학(幼學)","병과(丙科)",1,"1848-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012850&category=dirSer","G002+AKS-KHF_13C774C591C2E0B1801X0","문과",1,36,"식년시",1849,"헌종",214,"유학(幼學)","갑과(甲科)",1,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012852&category=dirSer","G002+AKS-KHF_13ACE0C2DCD64DB1803X0","문과",3,36,"식년시",1849,"헌종",272,"유학(幼學)","갑과(甲科)",3,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012853&category=dirSer","G002+AKS-KHF_13D669C778D558B1811X0","문과",4,36,"식년시",1849,"헌종",301,"유학(幼學)","을과(乙科)",1,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1427_000524&category=dirSer","G002+AKS-KHF_13AC15C9C4B355U9999X0","문과",12,20,"친시",1427,"세종",96,"좌랑(佐郞)","을과3등(乙科三等)",2,"1427-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012857&category=dirSer","G002+AKS-KHF_13AE40D604CCA0B1810X0","문과",8,36,"식년시",1849,"헌종",251,"유학(幼學)","을과(乙科)",5,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012858&category=dirSer","G002+AKS-KHF_13AE40C815D5CCB1817X0","문과",9,36,"식년시",1849,"헌종",216,"유학(幼學)","을과(乙科)",6,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012861&category=dirSer","G002+AKS-KHF_13C2E0C601AD8CB1815X0","문과",12,36,"식년시",1849,"헌종",31,"유학(幼學)","병과(丙科)",2,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012863&category=dirSer","G002+AKS-KHF_13AE40AE30C8FCB1820X0","문과",14,36,"식년시",1849,"헌종",251,"유학(幼學)","병과(丙科)",4,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012864&category=dirSer","G002+AKS-KHF_13ACFDD0DCB85CB1803X0","문과",15,36,"식년시",1849,"헌종",76,"유학(幼學)","병과(丙科)",5,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012866&category=dirSer","G002+AKS-KHF_13D55CC9C4ACC4B1814X0","문과",17,36,"식년시",1849,"헌종",206,"유학(幼學)","병과(丙科)",7,"1849-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1849_012868&category=dirSer","G002+AKS-KHF_13C784BB38C218B1802X0","문과",19,36,"식년시",1849,"헌종",61,"유학(幼學)","병과(丙科)",9,"1849-07-01"
